	date	text	source	likes	shares	year	month	day
33	2022-06-28 19:03:51	"RT @JustAchef2112: Ζύμη πίτσας 24 72 ώρες ωρίμανση στο ψυγείο
1 kilo αλεύρι 00
Νερό 630 ml
3g φρέσκα μαγιά
40 gr αλάτι
20ml λάδι
Και 10000g…"	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	24	2022	6	28
34	2022-06-28 19:03:44	@asaoulidis Αντώνη αγάπη μου 👇  	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	3	0	2022	6	28
35	2022-06-28 19:02:59	"RT @Asi22002251: Κάποιος που παλεύει για σένα... που νιώθει την επιθυμία να σε έχει στη ζωή του...
Αυτή είναι πραγματικά η αγάπη που σου αξ…"	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	107	2022	6	28
36	2022-06-28 19:02:56	RT @StellaAligizaki: Ένα μεγάλο χαμόγελο γεμάτο αγάπη για τον άνθρωπο του…που σου φτιάχνει τη μέρα ❤️ 	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	119	2022	6	28
37	2022-06-28 19:02:24	"RT @Panagrod21: Πάει κι η Βάσω Αλαγιάννη...
""Δε θέλω να `μαστε ούτε φίλοι ούτε εχθροί""... ""Αχ Ελλάδα σ’ αγαπώ""...""Πάμε νότια""...""Μπαίνουμε…"	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	71	2022	6	28
38	2022-06-28 19:00:27	@Adamant19482884 Χρόνια καλά χρόνια ευλογημένα με υγεία αγάπη καλοσύνη και καλή καρδιά ναχεις στη ζωή σου χρόνια πολλά και καλά σού εύχομαι από καρκιας Αδαμάντια μού νάσαι πάντα καλά εσύ και η όμορφη οικογένεια σου ο Θεός και η Παναγία μας πάντα μαζί σας κουκλίτσα μου και από χρόνου με υγεία 🎂🎂	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2022	6	28
39	2022-06-28 18:59:47	"Αχου 🤗🤗🤗 αγάπη μου συγχαρητήρια. Να σας ζήσει όπως ποθείτε να το δείτε. Αγάπη μουυ θα τρελαθώ. *συγκινησις 🥹🥹🥹
Νονά προλαβαίνω ή μας πρόλαβε η Αμαλ;  #pride #survivorGR  "	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2022	6	28
40	2022-06-28 18:59:20	@ZairaDim Τώρα που το είδα, είναι αργά αγάπη μου γλυκειά 😂🎶🎶	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2022	6	28
41	2022-06-28 18:59:11	@le_tavernier1 Συλλυπητήρια, να ζήσεις να τον θυμάσαι με αγάπη....πάντα...🙏🙏🙏	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2022	6	28
42	2022-06-28 18:58:37	RT @gr10437441: Αυτό το χάος που έχουμε μέσα μας δεν το δημιουργεί η αληθινή αγάπη εκείνη είναι ήσυχη.. αυτά είναι παιχνίδια του έρωτα	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	140	2022	6	28
43	2022-06-28 18:58:13	"RT @cygnetswift: Η Βασιλικη κοιτάει τον Μαθιό που μιλάει στο γιο τους με τόση αγάπη και τα μάτια της λάμπουν. 

Αυτή είναι η οικογένεια που…"	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	7	2022	6	28
44	2022-06-28 18:58:00	RT @FilipposFor: Αγάπη #Gitiselias  	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	2	2022	6	28
45	2022-06-28 18:57:33	"RT @aeritzis: - να κλείσουμε κάπου όμορφα
- το 'χω αγάπη, στο Χίλτον θα σε πάω  "	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	15	2022	6	28
46	2022-06-28 18:57:04	@Crossroads_St Βρε αγάπη βαριέμαι να σου εξηγώ τα προφανή κ τα οφθαλμοφανή.Ή έχεις παρωπίδες ή κοντή μνήμη.	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	0	2022	6	28
47	2022-06-28 18:56:54	"RT @zizel_m: ""Γίνε καλά, για να γίνω κι εγώ""  μου είπε. Κι αυτό είναι αγάπη. 💜💜💜"	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	3	2022	6	28
48	2022-06-28 18:56:36	RT @FilipposFor: Αγάπη ❤️ #Gitiselias  	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	1	2022	6	28
49	2022-06-28 18:55:35	"RT @AssosBig: Αγάπη είναι...
Να μπαίνεις στον κόσμο 
του άλλου και να βγαίνεις
απο το ""εγώ"" σου.
Τόσο απλό και τόσο δύσκολο!!!
web"	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	10	2022	6	28
50	2022-06-28 18:54:56	"RT @STAMengineer: Στέλνω της άλλης:
Το σεξ είναι η παρηγοριά όταν η αγάπη δεν είναι αρκετή.
Καλό μου λέει, δικό σου είναι;
Όχι λεω, Γκαμπρι…"	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	187	2022	6	28
51	2022-06-28 18:54:53	Αγάπη ❤️ #Gitiselias  	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	14	1	2022	6	28
52	2022-06-28 18:53:47	@dieLehrerin_ Αγάπη μου ❤️❤️	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	1	0	2022	6	28
